Country,City,AccentCity,Region,Population,Latitude,Longitude
ro,16 februarie,16 Februarie,43,,44.466667,26.033333
ro,1 decembrie,1 Decembrie,42,,44.290833,26.058056
ro,1 mai,1 Mai,05,,46.983333,21.983333
ro,23 august,23 August,12,,45.516667,22.433332999999998
ro,23 august,23 August,26,,44.7125,22.765832999999997
ro,23 august,23 August,38,,46.2,28.016666999999998
ro,23 mila,23 Mila,37,,45.183333000000005,29.4
ro,2 mai,2 Mai,14,,43.783333,28.583333000000003
ro,30 decembrie,30 Decembrie,38,,46.333333,27.85
ro,30 decembrie,30 Decembrie,42,,44.283333,26.05
ro,6 martie,6 Martie,37,,44.766667,28.883333
ro,6 martie,6 Martie,38,,46.4,27.533333000000002
ro,abafaja,Abafaja,27,,46.75,24.7
ro,abasfalva,Abasfalva,20,,46.25,25.433332999999998
ro,abdulah,Abdulah,14,,44.083333,28.483333000000002
ro,abram,Abram,05,3291.0,47.316666999999995,22.383333
ro,abramut,Abramut,05,2962.0,47.316666999999995,22.25
ro,abranfalva,Abranfalva,20,,46.216667,25.283333
ro,abrud,Abrud,01,6122.0,46.266667,23.066667000000002
ro,abrud,Abrud,21,,44.15,27.983333000000002
ro,abrud-sat,Abrud-Sat,01,,46.283333,23.066667000000002
ro,abrudsat,Abrudsat,02,,46.233333,23.05
ro,abrud-sat-buninginea,Abrud-Sat-Buninginea,02,,46.233333,23.033333
ro,abrud-sat-ciuruleasa,Abrud-Sat-Ciuruleasa,01,,46.25,23.033333
ro,abrudsat-cristea,Abrudsat-Cristea,01,,46.3,23.033333
ro,abrudsat-seliste,Abrudsat-Seliste,01,,46.283333,23.083333
ro,abrud-sat-soharu,Abrud-Sat-Soharu,01,,46.266667,23.05
ro,abrud-seliste,Abrud-Seliste,01,,46.283333,23.083333
ro,abucea,Abucea,21,,45.9,22.533333
ro,abud,Abud,27,,46.516667,24.916667
ro,abus,Abus,27,,46.35,24.383333
ro,academia,Academia,38,,46.35,27.65
ro,acas,Acas,32,2819.0,47.533333,22.783333
ro,acatar,Acatar,27,,46.483333,24.633333
ro,acatari,Acatari,27,4719.0,46.483333,24.633333
ro,acbasi,Acbasi,14,,43.8,28.433333
ro,ac cadan,Ac Cadan,37,,45.066666999999995,28.533333000000002
ro,ac-cadin,Ac-Cadin,37,,45.066666999999995,28.533333000000002
ro,achillea,Achillea,37,,45.416667,29.283333000000002
ro,achimetesti,Achimetesti,02,,46.383333,22.8
ro,aciliu,Aciliu,33,,45.833333,23.883333
ro,acis,Acis,32,,47.533333,22.783333
ro,aciua,Aciua,25,,47.683333000000005,23.366667
ro,aciura,Aciura,02,,46.333333,22.483333
ro,acmariu,Acmariu,01,,45.966667,23.366667
ro,acris,Acris,09,,45.65,25.983333
ro,acrisu,Acrisu,09,,45.65,25.983333
ro,acsfalva,Acsfalva,02,,46.283333,22.45
ro,acsova,Acsova,02,,46.333333,22.483333
ro,acsucza,Acsucza,02,,46.283333,22.45
ro,acsuva,Acsuva,02,,46.333333,22.483333
ro,acsva,Acsva,02,,46.333333,22.483333
ro,adakale,Adakale,26,,44.716667,22.45
ro,ada kaleh,Ada Kaleh,26,,44.716667,22.45
ro,adalin,Adalin,13,,47.016667,23.45
ro,adalinu,Adalinu,13,,47.016667,23.45
ro,adam,Adam,38,,46.033333,27.716666999999998
ro,ada marinescu,Ada Marinescu,37,,45.15,28.916666999999997
ro,adamas,Adamas,20,,46.55,26.083333
ro,adamclisi,Adamclisi,21,2247.0,44.083333,27.95
ro,adamesti,Adamesti,13,,46.566666999999995,23.8
ro,adamesti,Adamesti,35,,44.0,25.266667
ro,adamus,Adamus,27,5905.0,46.3,24.233333
ro,adanca,Adanca,16,,44.933333000000005,25.6
ro,adancata,Adancata,17,,44.483333,23.733333
ro,adancata,Adancata,21,,44.15,27.883333
ro,adancata,Adancata,34,7779.0,47.733333,26.3
ro,adancata,Adancata,42,3083.0,44.766667,26.433333
ro,adanoata,Adanoata,42,,44.766667,26.433333
ro,adaseni,Adaseni,07,,48.066666999999995,26.933333
ro,adaseni,Adaseni,34,,47.733333,26.3
ro,adasenii,Adasenii,07,,48.066666999999995,26.933333
ro,adea,Adea,02,,46.55,21.583333
ro,adinca,Adinca,16,,44.933333000000005,25.6
ro,adincata,Adincata,16,,44.933333000000005,25.6
ro,adincata,Adincata,17,,44.483333,23.733333
ro,adincata,Adincata,21,,44.15,27.883333
ro,adincata,Adincata,34,,47.733333,26.3
ro,adincata,Adincata,42,,44.0,24.95
ro,adjud,Adjud,38,17299.0,46.1,27.166666999999997
ro,adjudeni,Adjudeni,23,,47.016667,26.933333
ro,ad judul,Ad Judul,38,,46.1,27.166666999999997
ro,adjudul-vechi,Adjudul-Vechi,38,,46.133333,27.183333
ro,adjudul-vechiu,Adjudul-Vechiu,38,,46.133333,27.183333
ro,adjudu nou,Adjudu Nou,38,,46.15,27.166666999999997
ro,adjudu vechi,Adjudu Vechi,38,,46.133333,27.183333
ro,adjudu-vechiu,Adjudu-Vechiu,38,,46.133333,27.183333
ro,adom,Adom,05,,47.433333000000005,22.183332999999998
ro,adoni,Adoni,05,,47.433333000000005,22.183332999999998
ro,adrian,Adrian,27,,46.783333,24.833333
ro,adrian,Adrian,32,,47.9,23.133333
ro,adrianul mare,Adrianul Mare,27,,46.483333,24.8
ro,adrianul mic,Adrianul Mic,27,,46.5,24.783333
ro,adrianu mare,Adrianu Mare,27,,46.483333,24.8
ro,adrianu mic,Adrianu Mic,27,,46.5,24.783333
ro,adunati,Adunati,17,,44.15,23.916667
ro,adunati,Adunati,42,2239.0,45.133333,25.616667
ro,adunatii-copaceni,Adunatii-Copaceni,42,6584.0,44.253333000000005,26.0475
ro,adunatii de geormane,Adunatii de Geormane,17,,44.15,23.916667
ro,adunatii-proviti,Adunatii-Proviti,42,,45.133333,25.616667
